TITLE,Synthetic MoSe2 (Lorentzian peaks + noise)
355.9297,182.2
356.5776,178.3
357.2256,181.0
357.8735,178.8
358.5214,183.0
359.1693,178.8
359.8173,182.0
360.4652,179.9
361.1131,180.2
361.761,183.3
362.409,180.8
363.0569,182.3
363.7048,183.2
364.3527,181.1
365.0007,183.1
365.6486,182.8
366.2965,184.1
366.9445,184.8
367.5924,186.3
368.2403,186.5
368.8882,182.7
369.5362,181.7
370.1841,182.6
370.832,180.6
371.4799,180.7
372.1279,182.5
372.7758,179.6
373.4237,181.4
374.0716,182.8
374.7196,182.5
375.3675,184.2
376.0154,177.8
376.6633,179.5
377.3113,180.4
377.9592,182.1
378.6071,182.8
379.255,179.8
379.903,180.7
380.5509,181.4
381.1988,179.8
381.8467,182.5
382.4947,180.6
383.1426,181.5
383.7905,179.0
384.4385,179.9
385.0864,181.7
385.7343,181.9
386.3822,181.1
387.0302,179.8
387.6781,181.1
388.326,180.6
388.9739,180.2
389.6219,180.4
390.2698,179.8
390.9177,180.0
391.5656,179.9
392.2136,179.4
392.8615,178.9
393.5094,179.1
394.1573,177.7
394.8053,182.6
395.4532,182.3
396.1011,182.9
396.749,184.9
397.397,180.4
398.0449,181.5
398.6928,180.9
399.3408,182.3
399.9887,178.2
400.6366,181.0
401.2845,178.0
401.9325,181.8
402.5804,179.0
403.2283,176.9
403.8762,180.6
404.5242,180.7
405.1721,181.3
405.82,180.6
406.4679,176.9
407.1159,181.4
407.7638,182.8
408.4117,181.3
409.0596,179.7
409.7076,183.0
410.3555,181.0
411.0034,180.7
411.6513,180.7
412.2993,185.1
412.9472,181.4
413.5951,182.6
414.243,184.1
414.891,185.1
415.5389,185.2
416.1868,188.5
416.8348,188.2
417.4827,187.8
418.1306,187.7
418.7785,187.7
419.4265,183.8
420.0744,182.5
420.7223,181.8
421.3702,181.3
422.0182,182.2
422.6661,181.0
423.314,179.8
423.9619,183.9
424.6099,180.8
425.2578,181.2
425.9057,178.6
426.5536,180.7
427.2016,177.8
427.8495,178.7
428.4974,179.3
429.1453,177.4
429.7933,179.3
430.4412,177.1
431.0891,178.9
431.7371,179.3
432.385,180.7
433.0329,179.6
433.6808,178.6
434.3288,178.0
434.9767,177.4
435.6246,180.6
436.2725,177.2
436.9205,177.9
437.5684,181.1
438.2163,179.8
438.8642,178.0
439.5122,179.9
440.1601,180.6
440.808,180.3
441.4559,178.3
442.1039,181.4
442.7518,177.2
443.3997,176.4
444.0476,178.1
444.6956,181.5
445.3435,179.1
445.9914,180.3
446.6393,181.1
447.2873,182.7
447.9352,180.1
448.5831,183.3
449.2311,182.4
449.879,182.7
450.5269,180.9
451.1748,188.9
451.8228,188.3
452.4707,189.1
453.1186,189.7
453.7665,187.9
454.4145,185.8
455.0624,184.7
455.7103,181.9
456.3582,180.8
457.0062,180.9
457.6541,182.2
458.302,180.8
458.9499,178.6
459.5979,179.0
460.2458,178.3
460.8937,177.5
461.5416,179.3
462.1896,180.2
462.8375,180.0
463.4854,178.6
464.1334,179.0
464.7813,178.1
465.4292,179.7
466.0771,177.7
466.7251,182.5
467.373,179.0
468.0209,179.6
468.6688,177.2
469.3168,177.0
469.9647,180.5
470.6126,178.6
471.2605,177.0
471.9085,180.2
472.5564,178.3
473.2043,179.6
473.8522,177.9
474.5002,176.9
475.1481,179.1
475.796,177.2
476.4439,178.6
477.0919,174.7
477.7398,178.2
478.3877,178.7
479.0356,175.6
479.6836,176.8
480.3315,179.3
480.9794,179.8
481.6274,178.9
482.2753,176.4
482.9232,176.5
483.5711,175.9
484.2191,178.7
484.867,177.0
485.5149,177.2
486.1628,176.4
486.8108,180.2
487.4587,177.4
488.1066,179.0
488.7545,177.6
489.4025,179.8
490.0504,176.1
490.6983,177.7
491.3462,177.5
491.9942,173.3
492.6421,179.8
493.29,175.5
493.9379,174.9
494.5859,175.2
495.2338,177.2
495.8817,176.7
496.5297,175.6
497.1776,177.3
497.8255,177.3
498.4734,177.0
499.1214,175.9
499.7693,175.6
500.4172,179.6
501.0651,174.2
501.7131,174.9
502.361,178.1
503.0089,178.3
503.6568,178.5
504.3048,176.4
504.9527,174.9
505.6006,177.7
506.2485,176.5
506.8965,173.8
507.5444,177.7
508.1923,178.0
508.8402,176.4
509.4882,177.1
510.1361,180.3
510.784,177.2
511.4319,177.8
512.0799,176.4
512.7278,178.0
513.3757,177.4
514.0237,178.3
514.6716,177.8
515.3195,177.6
515.9674,177.3
516.6154,176.6
517.2633,177.2
517.9112,174.4
518.5591,177.8
519.2071,173.8
519.855,176.2
520.5029,180.2
521.1508,177.0
521.7988,176.8
522.4467,178.9
523.0946,180.7
523.7425,178.3
524.3905,179.5
525.0384,179.2
525.6863,179.1
526.3342,179.6
526.9822,176.9
527.6301,175.0
528.278,174.6
528.926,176.6
529.5739,178.2
530.2218,175.5
530.8697,173.6
531.5177,176.6
532.1656,172.9
532.8135,176.5
533.4614,175.5
534.1094,175.8
534.7573,173.4
535.4052,176.3
536.0531,175.1
536.7011,176.1
537.349,173.5
537.9969,177.0
538.6448,176.1
539.2928,174.1
539.9407,176.7
540.5886,174.0
541.2365,173.8
541.8845,175.8
542.5324,176.6
543.1803,174.7
543.8282,176.8
544.4762,177.0
545.1241,177.7
545.772,175.2
546.42,173.1
547.0679,176.6
547.7158,175.5
548.3637,176.0
549.0117,176.1
549.6596,175.3
550.3075,175.5
550.9554,176.7
551.6034,176.2
552.2513,175.1
552.8992,175.1
553.5471,175.2
554.1951,174.7
554.843,176.3
555.4909,172.8
556.1388,175.4
556.7868,176.0
557.4347,175.7
558.0826,174.5
558.7305,175.1
559.3785,175.1
560.0264,174.7
560.6743,173.3
561.3223,175.4
561.9702,174.3
562.6181,173.6
563.266,174.1
563.914,174.8
564.5619,178.2
565.2098,175.5
565.8577,175.4
566.5057,177.2
567.1536,175.7
567.8015,175.8
568.4494,174.2
569.0974,175.8
569.7453,174.3
570.3932,174.7
571.0411,175.5
571.6891,174.7
572.337,173.8
572.9849,174.3
573.6328,177.2
574.2808,172.3
574.9287,174.6
575.5766,174.9
576.2245,173.8
576.8725,173.1
577.5204,174.5
578.1683,175.2
578.8163,176.4
579.4642,178.1
580.1121,173.2
580.76,175.9
581.408,175.3
582.0559,173.8
582.7038,173.0
583.3517,174.9
583.9997,175.2
584.6476,172.7
585.2955,174.1
585.9434,174.8
586.5914,171.2
587.2393,174.9
587.8872,177.1
588.5351,174.1
589.1831,173.6
589.831,175.5
590.4789,175.7
591.1268,177.7
591.7748,176.6
592.4227,176.8
593.0706,178.1
593.7186,177.6
594.3665,176.5
595.0144,179.6
595.6623,176.5
596.3103,180.7
596.9582,180.9
597.6061,179.8
598.254,183.1
598.902,180.8
599.5499,182.4
600.1978,179.7
600.8457,183.7
601.4937,180.1
602.1416,178.4
602.7895,181.8
603.4374,179.8
604.0854,177.1
604.7333,178.4
605.3812,178.6
606.0291,173.3
606.6771,177.7
607.325,175.1
607.9729,175.6
608.6208,173.0
609.2688,178.7
609.9167,173.3
610.5646,175.6
611.2126,177.2
611.8605,173.9
612.5084,173.9
613.1563,174.0
613.8043,175.7
614.4522,170.8
615.1001,174.6
615.748,176.8
616.396,173.0
617.0439,178.9
617.6918,172.8
618.3397,175.6
618.9877,172.7
619.6356,175.3
620.2835,176.6
620.9314,173.9
621.5794,172.4
622.2273,177.1
622.8752,173.9
623.5231,174.2
624.1711,172.7
624.819,173.1
625.4669,173.0
626.1149,173.5
626.7628,173.0
627.4107,174.0
628.0586,174.6
628.7066,174.0
629.3545,174.4
630.0024,172.4
630.6503,173.6
631.2983,174.3
631.9462,172.8
632.5941,173.5
633.242,173.5
633.89,175.3
634.5379,175.0
635.1858,176.4
635.8337,173.6
636.4817,174.0
637.1296,175.6
637.7775,174.7
638.4254,175.7
639.0734,173.9
639.7213,173.5
640.3692,171.0
641.0171,174.9
641.6651,171.1
642.313,173.7
642.9609,173.9
643.6089,175.4
644.2568,172.4
644.9047,176.1
645.5526,172.0
646.2006,172.8
646.8485,173.0
647.4964,175.0
648.1443,173.7
648.7923,174.4
649.4402,172.9
650.0881,173.0
650.736,174.6
651.384,176.0
652.0319,170.4
652.6798,175.5
653.3277,174.7
653.9757,175.4
654.6236,173.3
655.2715,173.6
655.9194,173.7
656.5674,172.8
657.2153,172.0
657.8632,175.7
658.5112,176.1
659.1591,174.3
659.807,172.9
660.4549,172.4
661.1029,174.2
661.7508,175.1
662.3987,174.1
663.0466,174.1
663.6946,172.8
664.3425,176.5
664.9904,172.3
665.6383,173.3
666.2863,173.3
666.9342,171.9
667.5821,175.8
668.23,173.2
668.878,175.8
669.5259,173.0
670.1738,172.2
670.8217,170.6
671.4697,174.1
672.1176,176.1
672.7655,172.9
673.4134,171.9
674.0614,175.4
674.7093,173.6
675.3572,175.1
676.0052,173.8
676.6531,173.0
677.301,175.4
677.9489,173.9
678.5969,172.0
679.2448,173.5
679.8927,174.7
680.5406,175.2
681.1886,175.5
681.8365,174.3
682.4844,173.8
683.1323,173.7
683.7803,174.4
684.4282,173.6
685.0761,175.9
685.724,177.1
686.372,173.0
687.0199,174.3
687.6678,173.8
688.3157,173.6
688.9637,173.8
689.6116,175.9
690.2595,176.1
690.9075,175.9
691.5554,173.0
692.2033,173.6
692.8512,174.5
693.4992,172.3
694.1471,174.8
694.795,172.0
695.4429,173.1
696.0909,175.5
696.7388,171.9
697.3867,173.6
698.0346,172.2
698.6826,177.2
699.3305,173.2
699.9784,173.3
700.6263,173.9
701.2743,174.8
701.9222,176.7
702.5701,175.0
703.218,174.0
703.866,176.6
704.5139,176.7
705.1618,174.5
705.8097,174.8
706.4577,173.0
707.1056,176.5
707.7535,173.7
708.4015,177.0
709.0494,175.6
709.6973,173.6
710.3452,177.1
710.9932,174.8
711.6411,176.6
712.289,174.4
712.9369,176.1
713.5849,175.3
714.2328,176.8
714.8807,175.7
715.5286,174.4
716.1766,174.4
716.8245,174.9
717.4724,173.8
718.1203,173.6
718.7683,175.1
719.4162,174.4
720.0641,176.6
720.712,174.5
721.36,173.2
722.0079,174.5
722.6558,176.5
723.3038,175.3
723.9517,176.8
724.5996,173.5
725.2475,173.9
725.8955,174.3
726.5434,175.5
727.1913,175.0
727.8392,174.7
728.4872,176.4
729.1351,175.0
729.783,177.2
730.4309,177.3
731.0789,175.8
731.7268,176.7
732.3747,173.1
733.0226,176.1
733.6706,176.5
734.3185,175.7
734.9664,175.0
735.6143,175.4
736.2623,176.2
736.9102,177.0
737.5581,172.9
738.206,177.3
738.854,175.5
739.5019,178.1
740.1498,179.8
740.7978,175.2
741.4457,174.1
742.0936,176.2
742.7415,176.6
743.3895,174.9
744.0374,175.8
744.6853,176.7
745.3332,177.5
745.9812,178.4
746.6291,175.2
747.277,176.7
747.9249,178.0
748.5729,176.2
749.2208,177.6
749.8687,175.4
750.5166,180.2
751.1646,176.9
751.8125,176.9
752.4604,176.8
753.1083,177.9
753.7563,175.3
754.4042,176.1
